,Location,Year,Date,Event,Round,Heat,Rank,Athlete,Country,UCI_ID,Age,Initial_CSE,Final_CSE,Mu,Sigma,ExpectedRank,RatingChange
106,Beijing,2012,14/01/2012,WC,R1,5,2,BORISOV_Sergei,RUS,10002558558,29,29.634,29.12,34.78,2.83,1,
107,Beijing,2012,14/01/2012,WC,R1,5,3,MAZQUIARAN_URIA_Hodei,ESP_,10004613039,23.1,25.418,25.072,30.482,2.705,2,
108,Beijing,2012,14/01/2012,WC,R1,5,4,FENG_Yong,HBC_,10004792184,26.1,9,12.583,23.127,5.272,4,
109,Beijing,2012,14/01/2012,WC,R1,5,5,FEIFERLÍK_Martin,CZE_,10006600933,21.5,9,4.934,17.23,6.148,4,
110,Beijing,2012,14/01/2012,WC,R1,6,1,WATANABE_Kazunari,JPN,10003349716,26.7,9,22.773,34.193,5.71,4,
111,Beijing,2012,14/01/2012,WC,R1,6,2,PHILLIP_Njisane,TTO,10006898401,20.6,11.517,18.294,25.394,3.55,3,
112,Beijing,2012,14/01/2012,WC,R1,6,3,HSIAO_Shih_Hsin,TPE,10006137252,21.8,9,17.332,26.53,4.599,4,
113,Beijing,2012,14/01/2012,WC,R1,6,4,TANG_Qi,MSP_,10005763400,25.2,9,15.094,24.202,4.554,4,
114,Beijing,2012,14/01/2012,WC,R1,6,5,CECI_Francesco,ITA,10006073493,22.1,16.506,16.281,22.891,3.305,1,
115,Beijing,2012,14/01/2012,WC,R1,6,6,ESTERHUIZEN_Bernard,RSA_,10006893852,19.3,14.113,13.099,19.973,3.437,2,
116,Beijing,2012,14/01/2012,WC,R1,6,7,ZAID_Mohd_Fattah_Amri,MAS_,10007210417,19.8,9,3.141,14.233,5.546,4,
117,Beijing,2012,14/01/2012,WC,Rep,1,1,FENG_Yong,HBC_,10004792184,26.1,12.583,20.212,28.788,4.288,3,
118,Beijing,2012,14/01/2012,WC,Rep,1,2,GAO_Song,GPC_,10006148467,28.7,21.04,20.969,29.025,4.028,1,
119,Beijing,2012,14/01/2012,WC,Rep,1,3,SZILSKII_Sergei,PHL_,10005748545,,1.207,9.979,18.275,4.148,5,
120,Beijing,2012,14/01/2012,WC,Rep,1,4,HSIAO_Shih_Hsin,TPE,10006137252,21.8,17.332,14.294,21.75,3.728,2,
121,Beijing,2012,14/01/2012,WC,Rep,1,5,AUDI_Raja,LIB,10006107748,32.2,4.487,3.957,11.379,3.711,4,
122,Beijing,2012,14/01/2012,WC,Rep,2,1,MAZQUIARAN_URIA_Hodei,ESP_,10004613039,23.1,25.072,25.982,31.136,2.577,1,
123,Beijing,2012,14/01/2012,WC,Rep,2,2,MASSIE_Giddeon,USA,10002260484,30.4,13.894,17.073,24.403,3.665,2,
124,Beijing,2012,14/01/2012,WC,Rep,2,3,JUN_Wongu,KOR_,10006643066,,4.913,10.901,19.273,4.186,5,
125,Beijing,2012,14/01/2012,WC,Rep,2,4,MD_YUNOS_Muhammad_Edrus,MAS,10004868269,24.5,10.22,10.238,18.084,3.923,3,
126,Beijing,2012,14/01/2012,WC,Rep,2,5,SMITH_Travis,CAN_,10003302327,31.9,7.754,5.347,13.837,4.245,4,
127,Beijing,2012,14/01/2012,WC,Rep,3,1,DAWKINS_Edward,NZL,10005782695,22.5,11.373,18.501,26.507,4.003,4,
128,Beijing,2012,14/01/2012,WC,Rep,3,2,KHOZOV_Vladimir,RUS_,10005510085,23.8,13.99,17.35,24.936,3.793,2,
129,Beijing,2012,14/01/2012,WC,Rep,3,3,CHEUNG_Joy_Lai,HKG_,10006278914,19.5,6.773,12.233,19.683,3.725,5,
130,Beijing,2012,14/01/2012,WC,Rep,3,4,TEKLINSKI_Adrian,POL,10005364585,22.2,16.225,15.222,21.352,3.065,1,
131,Beijing,2012,14/01/2012,WC,Rep,3,5,ESTERHUIZEN_Bernard,RSA_,10006893852,19.3,13.099,11.466,17.564,3.049,3,
132,Beijing,2012,14/01/2012,WC,Rep,4,1,BÜCHLI_Matthijs,NED,10006900421,19.1,17.521,21.646,30.054,4.204,2,
133,Beijing,2012,14/01/2012,WC,Rep,4,2,CIPRIANO_Flavio_Vagner,BRA,10007165755,22,10.438,14.827,21.127,3.15,4,
134,Beijing,2012,14/01/2012,WC,Rep,4,3,CANELON_VERA_Hersony_Gadiel,VEN,10004717719,23.1,17.855,17.644,23.6,2.978,1,
135,Beijing,2012,14/01/2012,WC,Rep,4,4,SKINNER_Callum,GBR,10006898296,19.4,14.343,12.831,20.441,3.805,3,
136,Beijing,2012,14/01/2012,WC,Rep,4,5,ZAID_Mohd_Fattah_Amri,MAS_,10007210417,19.8,3.141,2.231,11.593,4.681,5,
137,Beijing,2012,14/01/2012,WC,Rep,5,1,BORISOV_Sergei,RUS,10002558558,29,29.12,29.827,35.245,2.709,1,
