,Location,Year,Date,Event,Round,Heat,Rank,Athlete,Country,UCI_ID,Age,Initial_CSE,Final_CSE,ExpectedRank,RatingChange
129,Beijing,2012,2012-01-14,WC,Rep,3,3,CHEUNG_Joy_Lai,HKG_,10006278914.0,19.5,6.773,12.233,5.0,
130,Beijing,2012,2012-01-14,WC,Rep,3,4,TEKLINSKI_Adrian,POL,10005364585.0,22.2,16.225,15.222000000000001,1.0,
131,Beijing,2012,2012-01-14,WC,Rep,3,5,ESTERHUIZEN_Bernard,RSA_,10006893852.0,19.3,13.099,11.466000000000001,3.0,
132,Beijing,2012,2012-01-14,WC,Rep,4,1,BÜCHLI_Matthijs,NED,10006900421.0,19.1,17.521,21.646,2.0,
133,Beijing,2012,2012-01-14,WC,Rep,4,2,CIPRIANO_Flavio_Vagner,BRA,10007165755.0,22.0,10.438,14.826999999999998,4.0,
134,Beijing,2012,2012-01-14,WC,Rep,4,3,CANELON_VERA_Hersony_Gadiel,VEN,10004717719.0,23.1,17.855,17.644000000000002,1.0,
135,Beijing,2012,2012-01-14,WC,Rep,4,4,SKINNER_Callum,GBR,10006898296.0,19.4,14.343000000000002,12.831,3.0,
136,Beijing,2012,2012-01-14,WC,Rep,4,5,ZAID_Mohd_Fattah_Amri,MAS_,10007210417.0,19.8,3.141,2.231,5.0,
137,Beijing,2012,2012-01-14,WC,Rep,5,1,BORISOV_Sergei,RUS,10002558558.0,29.0,29.12,29.826999999999998,1.0,
138,Beijing,2012,2012-01-14,WC,Rep,5,2,NAKAGAWA_Seiichiro,JPN_,10002830360.0,32.6,17.431,19.774,2.0,
139,Beijing,2012,2012-01-14,WC,Rep,5,3,VOLIKAKIS_Zafeiris,GRE,10005505439.0,22.6,13.167000000000002,15.633000000000001,4.0,
140,Beijing,2012,2012-01-14,WC,Rep,5,4,CECI_Francesco,ITA,10006073493.0,22.1,16.281,15.39,3.0,
141,Beijing,2012,2012-01-14,WC,Rep,5,5,MASOTTI_Fabio,ITA,10002209661.0,37.6,0.3490000000000002,0.07699999999999996,5.0,
142,Beijing,2012,2012-01-14,WC,Rep,6,1,PERALTA_Juan,ESP,10006552534.0,21.7,18.188,22.476,2.0,
143,Beijing,2012,2012-01-14,WC,Rep,6,2,TANG_Qi,MSP_,10005763400.0,25.2,15.094000000000001,18.106,3.0,
144,Beijing,2012,2012-01-14,WC,Rep,6,3,FEIFERLÍK_Martin,CZE_,10006600933.0,21.5,4.934000000000001,11.883000000000001,4.0,
145,Beijing,2012,2012-01-14,WC,Rep,6,4,WANG_Qiming,HKP_,10004792588.0,24.6,1.9160000000000004,8.2,5.0,
146,Beijing,2012,2012-01-14,WC,Rep,6,5,PHILLIP_Njisane,TTO,10006898401.0,20.6,18.293999999999997,14.656999999999998,1.0,
147,Beijing,2012,2012-01-14,WC,R2,1,1,ZHANG_Miao,CHN_,10006737945.0,23.4,23.834,27.528,4.0,
148,Beijing,2012,2012-01-14,WC,R2,1,2,BORISOV_Sergei,RUS,10002558558.0,29.0,29.826999999999998,30.726,1.0,
149,Beijing,2012,2012-01-14,WC,R2,1,3,TAYLOR_Andrew,AUS_,10003030424.0,26.5,24.406,26.660000000000004,3.0,
150,Beijing,2012,2012-01-14,WC,R2,1,4,WATANABE_Kazunari,JPN,10003349716.0,26.7,22.772999999999996,24.104,5.0,
151,Beijing,2012,2012-01-14,WC,R2,1,5,MAZQUIARAN_URIA_Hodei,ESP_,10004613039.0,23.1,25.982,25.347,2.0,
152,Beijing,2012,2012-01-14,WC,R2,1,6,DAWKINS_Edward,NZL,10005782695.0,22.5,18.501,17.25,6.0,
153,Beijing,2012,2012-01-14,WC,R2,2,1,PERVIS_Francois,FRA,10003011125.0,27.2,19.881999999999998,29.267000000000003,6.0,
