Location,Year,Date,Event,Stage,Heat,Round,Athlete,Country,Age,Final_Rank,Rank,200m,AvgSpeed,Initial_CSE,Final_CSE,Mu,Sigma,ExpectedRank,RatingChange,,
Berlin,2018,2/12/2018,NC,F,B,1,HELAL_Rayan,FRA,19.87671233,3,1,10.419,69.10452059,24.712,27.516,34.818,3.651,2,2.804,,
Berlin,2018,2/12/2018,NC,F,B,1,RUDYK_Mateusz,POL,23.38630137,4,2,10.459,68.84023329,27.229,25.958,33.032,3.537,1,-1.271,,
Berlin,2018,2/12/2018,NC,F,G,2,GLAETZER_Matthew,AUS,26.29041096,1,1,10.433,69.01178951,32.998,34.385,40.233,2.924,1,1.387,,
Berlin,2018,2/12/2018,NC,F,G,2,BUCHLI_Matthijs,BCC,,2,2,10.465,68.80076445,31.511,30.619,37.363,3.372,2,-0.892,,
Berlin,2018,2/12/2018,NC,F,B,2,HELAL_Rayan,FRA,19.87671233,3,1,10.381,69.35748001,27.516,29.244,36.042,3.399,1,1.728,,
Berlin,2018,2/12/2018,NC,F,B,2,RUDYK_Mateusz,POL,23.38630137,4,2,10.614,67.83493499,25.958,25.265,31.883,3.309,2,-0.693,,
London,2018,16/12/2018,NC,R16,1,1,CARLIN_Jack,TIN,21.6630137,4,1,10.236,70.33997655,9,15.054,29.396,7.171,1,6.054,,
London,2018,16/12/2018,NC,R16,1,1,MORENO_SANCHEZ_Jose,ESP,25.09315068,28,2,10.559,68.1882754,9,6.262,20.604,7.171,1,-2.738,,
London,2018,16/12/2018,NC,R16,2,1,TJON_EN_FA_Jair,SUR,25.17534247,6,1,10.444,68.93910379,6.262,12.515,25.045,6.265,2,6.253,,
London,2018,16/12/2018,NC,R16,2,1,ARCHAMBAULT_Joel,PTM,119.0410959,27,2,11.048,65.17016655,9,5.259,19.003,6.872,1,-3.741,,
London,2018,16/12/2018,NC,R16,3,1,OWENS_Ryan,GBR,23.23013699,7,1,10.259,70.18227897,9,15.054,29.396,7.171,1,6.054,,
London,2018,16/12/2018,NC,R16,3,1,TKACHEV_Aleksei,RUS,,26,2,10.738,67.05159248,9,6.262,20.604,7.171,1,-2.738,,
London,2018,16/12/2018,NC,R16,4,1,RUDYK_Mateusz,POL,23.42465753,8,1,10.599,67.93093688,25.265,25.687,32.175,3.244,1,0.422,,
London,2018,16/12/2018,NC,R16,4,1,VYNOKUROV_Andrii,UKR,,25,2,10.673,67.45994566,6.262,6.287,19.233,6.473,2,0.025,,
London,2018,16/12/2018,NC,R16,5,1,KENNY_Jason,GBR,,9,1,10.609,67.86690546,13.241,16.973,28.319,5.673,1,3.732,,
London,2018,16/12/2018,NC,R16,5,1,SAHROM_Muhammad_Shah_Firdaus,MAS,23.07123288,24,2,12.157,59.22513778,9,6.507,20.361,6.927,2,-2.493,,
London,2018,16/12/2018,NC,R16,6,1,OH_Jeseok,KOR,119.0410959,16,1,10.426,69.05812392,6.262,12.515,25.045,6.265,2,6.253,,
London,2018,16/12/2018,NC,R16,6,1,BOS_Theo,BCC,,17,2,10.429,69.0382587,9,5.259,19.003,6.872,1,-3.741,,
London,2018,16/12/2018,NC,R16,7,1,LENDEL_Vasilijus,LTU,23.70410959,10,1,10.239,70.31936713,12.425,16.349,27.709,5.68,1,3.924,,
London,2018,16/12/2018,NC,R16,7,1,SZALONTAY_Sandor,HUN,,23,2,10.52,68.44106464,9,6.334,20.128,6.897,2,-2.666,,
London,2018,16/12/2018,NC,R16,8,1,AWANG_Mohd_Azizulhasni,MAS,119.0410959,15,1,10.216,70.47768207,9,14.058,28.458,7.2,1,5.058,,
London,2018,16/12/2018,NC,R16,8,1,PHILLIP_Njisane,TTO,119.0410959,18,2,10.28,70.03891051,6.262,5.117,18.043,6.463,2,-1.145,,
London,2018,16/12/2018,NC,R16,9,1,QUINTERO_CHAVARRO_Kevin_Santiago,COL,20.14794521,14,1,10.365,69.46454414,6.262,12.515,25.045,6.265,2,6.253,,
London,2018,16/12/2018,NC,R16,9,1,LAFARGUE_Quentin,FRA,28.09863014,19,2,10.369,69.43774713,9,5.259,19.003,6.872,1,-3.741,,
London,2018,16/12/2018,NC,R16,10,1,LANDERNEAU_Melvin,FRA,21.23013699,13,1,10.378,69.37752939,9,14.058,28.458,7.2,1,5.058,,
London,2018,16/12/2018,NC,R16,10,1,BARRETTE_Hugo,CAN,27.47123288,20,2,10.382,69.35079946,6.262,5.117,18.043,6.463,2,-1.145,,
London,2018,16/12/2018,NC,R16,11,1,BOTTICHER_Stefan,GER,,11,1,10.357,69.51820025,6.262,15.305,26.897,5.796,2,9.043,,
London,2018,16/12/2018,NC,R16,11,1,KELEMEN_Pavel,CZE,119.0410959,22,2,10.421,69.09125804,17.06,14.737,24.159,4.711,1,-2.323,,
London,2018,16/12/2018,NC,R16,12,1,DORNBACH_Maximilian,GER,,12,1,10.528,68.38905775,9,16.041,29.843,6.901,2,7.041,,
London,2018,16/12/2018,NC,R16,12,1,PERALTA_GASCON_Juan,ESP,,21,2,10.577,68.0722322,12.425,10.853,22.217,5.682,1,-1.572,,
London,2018,16/12/2018,NC,R8,1,1,LAVREYSEN_Harrie,NED,21.77260274,1,1,10.075,71.46401985,9,17.61,31.24,6.815,2,8.61,,
London,2018,16/12/2018,NC,R8,1,1,DORNBACH_Maximilian,GER,,12,2,10.155,70.90103397,16.041,13.429,25.563,6.067,1,-2.612,,
London,2018,16/12/2018,NC,R8,2,1,HOOGLAND_Jeffrey,NED,25.76986301,3,1,10.107,71.23775601,7.142,15.254,27.134,5.94,2,8.112,,
