Event,Date,Round,Heat,Position,Draw,3 to go,2.5 to go,2 to go,1.5 to go,1 to go,0.5 to go,PL,Finish,Video
2025 Konya NC,15/03/2025,R1,5,4,VERDUGO OSUNA Edgar,VERDUGO OSUNA Edgar,DAKIN Sam,DAKIN Sam,VERDUGO OSUNA Edgar,CECHMAN Martin,BURAWSKI Konrad,BURAWSKI Konrad,BURAWSKI Konrad,
2025 Konya NC,15/03/2025,R1,5,5,BURAWSKI Konrad,BURAWSKI Konrad,BURAWSKI Konrad,MORO Stefano,BURAWSKI Konrad,BURAWSKI Konrad,VINSKAS Laurynas,VINSKAS Laurynas,VINSKAS Laurynas,
2025 Konya NC,15/03/2025,R1,5,6,MORO Stefano,MORO Stefano,MORO Stefano,BURAWSKI Konrad,VINSKAS Laurynas,VINSKAS Laurynas,CECHMAN Martin,CECHMAN Martin,CECHMAN Martin,
2025 Konya NC,15/03/2025,R1,1,1,DERACHE Tom,DERACHE Tom,DERACHE Tom,RADFORD Harry,WAMMES Nick,WAMMES Nick,WAMMES Nick,WAMMES Nick,WAMMES Nick,
2025 Konya NC,15/03/2025,R1,1,2,RADFORD Harry,RADFORD Harry,RADFORD Harry,WAMMES Nick,SARNECKI Rafal,SARNECKI Rafal,SARNECKI Rafal,SARNECKI Rafal,SARNECKI Rafal,
2025 Konya NC,15/03/2025,R1,1,3,PULIDO Zion,PULIDO Zion,PULIDO Zion,DERACHE Tom,RADFORD Harry,RADFORD Harry,RADFORD Harry,RADFORD Harry,DERACHE Tom,
2025 Konya NC,15/03/2025,R1,1,4,SARNECKI Rafal,SARNECKI Rafal,SARNECKI Rafal,PULIDO Zion,DERACHE Tom,DERACHE Tom,DERACHE Tom,DERACHE Tom,RADFORD Harry,
2025 Konya NC,15/03/2025,R1,1,5,WAMMES Nick,WAMMES Nick,WAMMES Nick,TO Cheuk Hei,TO Cheuk Hei,TO Cheuk Hei,TO Cheuk Hei,KALACHNIK Nikita,KALACHNIK Nikita,
2025 Konya NC,15/03/2025,R1,1,6,KALACHNIK Nikita,KALACHNIK Nikita,TO Cheuk Hei,SARNECKI Rafal,KALACHNIK Nikita,KALACHNIK Nikita,KALACHNIK Nikita,TO Cheuk Hei,TO Cheuk Hei,
2025 Konya NC,15/03/2025,R1,1,7,TO Cheuk Hei,TO Cheuk Hei,KALACHNIK Nikita,KALACHNIK Nikita,PULIDO Zion,PULIDO Zion,PULIDO Zion,PULIDO Zion,PULIDO Zion,
2025 Konya NC,15/03/2025,R1,6,1,LEDINGHAM-HORN Harry,LEDINGHAM-HORN Harry,SPIEGEL Luca,SPIEGEL Luca,van LOON Tijmen,van LOON Tijmen,van LOON Tijmen,van LOON Tijmen,van LOON Tijmen,
2025 Konya NC,15/03/2025,R1,6,2,VILAR Lucas Oscar,VILAR Lucas Oscar,LEDINGHAM-HORN Harry,LEDINGHAM-HORN Harry,SPIEGEL Luca,CHUGAY Andrey,CHUGAY Andrey,LEDINGHAM-HORN Harry,LEDINGHAM-HORN Harry,
2025 Konya NC,15/03/2025,R1,6,3,VADAPALAS Eimantas,van LOON Tijmen,VADAPALAS Eimantas,VADAPALAS Eimantas,CHUGAY Andrey,SPIEGEL Luca,SPIEGEL Luca,SPIEGEL Luca,SPIEGEL Luca,
2025 Konya NC,15/03/2025,R1,6,4,van LOON Tijmen,VADAPALAS Eimantas,VILAR Lucas Oscar,VILAR Lucas Oscar,LEDINGHAM-HORN Harry,LEDINGHAM-HORN Harry,LEDINGHAM-HORN Harry,VILAR Lucas Oscar,VILAR Lucas Oscar,
2025 Konya NC,15/03/2025,R1,6,5,SPIEGEL Luca,SPIEGEL Luca,van LOON Tijmen,van LOON Tijmen,VILAR Lucas Oscar,VILAR Lucas Oscar,VILAR Lucas Oscar,CHUGAY Andrey,CHUGAY Andrey,
2025 Konya NC,15/03/2025,R1,6,6,CHUGAY Andrey,CHUGAY Andrey,CHUGAY Andrey,CHUGAY Andrey,VADAPALAS Eimantas,VADAPALAS Eimantas,VADAPALAS Eimantas,VADAPALAS Eimantas,VADAPALAS Eimantas,
2025 Konya NC,15/03/2025,Rep,1,1,YAMASAKI Kento,YAMASAKI Kento,YAMASAKI Kento,KOOL Daan,KOOL Daan,KOOL Daan,YAMASAKI Kento,YAMASAKI Kento,YAMASAKI Kento,
2025 Konya NC,15/03/2025,Rep,1,2,RADFORD Harry,RADFORD Harry,KOOL Daan,YAMASAKI Kento,YAMASAKI Kento,YAMASAKI Kento,MORO Stefano,MORO Stefano,MORO Stefano,
2025 Konya NC,15/03/2025,Rep,1,3,KOOL Daan,KOOL Daan,RADFORD Harry,RADFORD Harry,MORO Stefano,MORO Stefano,KOOL Daan,RADFORD Harry,RADFORD Harry,
2025 Konya NC,15/03/2025,Rep,1,4,MORO Stefano,MORO Stefano,MORO Stefano,MORO Stefano,RADFORD Harry,RADFORD Harry,RADFORD Harry,LI Zhiwei,LI Zhiwei,
2025 Konya NC,15/03/2025,Rep,1,5,LI Zhiwei,LI Zhiwei,LI Zhiwei,LI Zhiwei,LI Zhiwei,LI Zhiwei,LI Zhiwei,KOOL Daan,KOOL Daan,
2025 Konya NC,15/03/2025,Rep,2,1,MARASAS Mateo Nicolas,MARASAS Mateo Nicolas,MUKHTAR Ramazan,MUKHTAR Ramazan,MARASAS Mateo Nicolas,MUKHTAR Ramazan,CECHMAN Martin,ESOW Esow,ESOW Esow,
2025 Konya NC,15/03/2025,Rep,2,2,CECHMAN Martin,CECHMAN Martin,MARASAS Mateo Nicolas,MARASAS Mateo Nicolas,MUKHTAR Ramazan,CECHMAN Martin,ESOW Esow,CECHMAN Martin,CECHMAN Martin,
2025 Konya NC,15/03/2025,Rep,2,3,TO Cheuk Hei,MUKHTAR Ramazan,CECHMAN Martin,CECHMAN Martin,CECHMAN Martin,TO Cheuk Hei,TO Cheuk Hei,TO Cheuk Hei,TO Cheuk Hei,
2025 Konya NC,15/03/2025,Rep,2,4,MUKHTAR Ramazan,TO Cheuk Hei,TO Cheuk Hei,TO Cheuk Hei,TO Cheuk Hei,ESOW Esow,MUKHTAR Ramazan,MUKHTAR Ramazan,MUKHTAR Ramazan,
2025 Konya NC,15/03/2025,Rep,2,5,ESOW Esow,ESOW Esow,ESOW Esow,ESOW Esow,ESOW Esow,MARASAS Mateo Nicolas,MARASAS Mateo Nicolas,MARASAS Mateo Nicolas,MARASAS Mateo Nicolas,
2025 Konya NC,15/03/2025,Rep,3,1,MOHD ZONIS Muhammad Fadh,MOHD ZONIS Muhammad Fadh,MOHD ZONIS Muhammad Fadh,MOHD ZONIS Muhammad Fadh,BARBER Daniel,BARBER Daniel,BARBER Daniel,BARBER Daniel,BARBER Daniel,
2025 Konya NC,15/03/2025,Rep,3,2,YUNG Tsun Ho,YUNG Tsun Ho,YUNG Tsun Ho,YUNG Tsun Ho,MOHD ZONIS Muhammad Fadh,MOHD ZONIS Muhammad Fadh,MOHD ZONIS Muhammad Fadh,MOHD ZONIS Muhammad Fadh,MOHD ZONIS Muhammad Fadh,
2025 Konya NC,15/03/2025,Rep,3,3,SARNECKI Rafal,SARNECKI Rafal,SARNECKI Rafal,BARBER Daniel,YUNG Tsun Ho,SARNECKI Rafal,SARNECKI Rafal,SARNECKI Rafal,SARNECKI Rafal,
2025 Konya NC,15/03/2025,Rep,3,4,DANYLCHUK Bohdan,DANYLCHUK Bohdan,DANYLCHUK Bohdan,SARNECKI Rafal,VINSKAS Laurynas,YUNG Tsun Ho,YUNG Tsun Ho,YUNG Tsun Ho,YUNG Tsun Ho,
2025 Konya NC,15/03/2025,Rep,3,5,BARBER Daniel,BARBER Daniel,BARBER Daniel,VINSKAS Laurynas,SARNECKI Rafal,VINSKAS Laurynas,VINSKAS Laurynas,VINSKAS Laurynas,VINSKAS Laurynas,
2025 Konya NC,15/03/2025,Rep,3,6,VINSKAS Laurynas,VINSKAS Laurynas,VINSKAS Laurynas,DANYLCHUK Bohdan,DANYLCHUK Bohdan,DANYLCHUK Bohdan,DANYLCHUK Bohdan,DANYLCHUK Bohdan,DANYLCHUK Bohdan,
2025 Konya NC,15/03/2025,Rep,4,1,VILAR Lucas Oscar,VILAR Lucas Oscar,SINGH LAITONJAM Ronaldo,DORNBACH Maximilian,DORNBACH Maximilian,DERACHE Tom,DERACHE Tom,DERACHE Tom,DERACHE Tom,
2025 Konya NC,15/03/2025,Rep,4,2,DERACHE Tom,SINGH LAITONJAM Ronaldo,DORNBACH Maximilian,SINGH LAITONJAM Ronaldo,DERACHE Tom,DORNBACH Maximilian,BURAWSKI Konrad,BURAWSKI Konrad,BURAWSKI Konrad,
2025 Konya NC,15/03/2025,Rep,4,3,SINGH LAITONJAM Ronaldo,DORNBACH Maximilian,BURAWSKI Konrad,DERACHE Tom,SINGH LAITONJAM Ronaldo,BURAWSKI Konrad,VILAR Lucas Oscar,VILAR Lucas Oscar,VILAR Lucas Oscar,
2025 Konya NC,15/03/2025,Rep,4,4,DENYSENKO Vladyslav,DERACHE Tom,DERACHE Tom,BURAWSKI Konrad,BURAWSKI Konrad,VILAR Lucas Oscar,DORNBACH Maximilian,DENYSENKO Vladyslav,DENYSENKO Vladyslav,
2025 Konya NC,15/03/2025,Rep,4,5,BURAWSKI Konrad,DENYSENKO Vladyslav,VILAR Lucas Oscar,VILAR Lucas Oscar,VILAR Lucas Oscar,SINGH LAITONJAM Ronaldo,SINGH LAITONJAM Ronaldo,DORNBACH Maximilian,DORNBACH Maximilian,
2025 Konya NC,15/03/2025,Rep,4,6,DORNBACH Maximilian,BURAWSKI Konrad,DENYSENKO Vladyslav,DENYSENKO Vladyslav,DENYSENKO Vladyslav,DENYSENKO Vladyslav,DENYSENKO Vladyslav,SINGH LAITONJAM Ronaldo,SINGH LAITONJAM Ronaldo,
2025 Konya NC,15/03/2025,Rep,5,1,VERDUGO OSUNA Edgar,VERDUGO OSUNA Edgar,VERDUGO OSUNA Edgar,KALACHNIK Nikita,DODYK Ryan,DODYK Ryan,DODYK Ryan,DODYK Ryan,DODYK Ryan,
2025 Konya NC,15/03/2025,Rep,5,2,DODYK Ryan,DODYK Ryan,KALACHNIK Nikita,DODYK Ryan,PHILLIP Njisane,PHILLIP Njisane,PHILLIP Njisane,PHILLIP Njisane,PHILLIP Njisane,
2025 Konya NC,15/03/2025,Rep,5,3,PHILLIP Njisane,PHILLIP Njisane,DODYK Ryan,VERDUGO OSUNA Edgar,KALACHNIK Nikita,KALACHNIK Nikita,KALACHNIK Nikita,KALACHNIK Nikita,VERDUGO OSUNA Edgar,
2025 Konya NC,15/03/2025,Rep,5,4,KALACHNIK Nikita,KALACHNIK Nikita,PHILLIP Njisane,PHILLIP Njisane,VERDUGO OSUNA Edgar,VERDUGO OSUNA Edgar,VERDUGO OSUNA Edgar,VERDUGO OSUNA Edgar,KALACHNIK Nikita,
2025 Konya NC,15/03/2025,Rep,5,5,TAMME Matej,TAMME Matej,TAMME Matej,TAMME Matej,TAMME Matej,TAMME Matej,TAMME Matej,TAMME Matej,TAMME Matej,
2025 Konya NC,15/03/2025,Rep,5,6,CHUGAY Andrey,CHUGAY Andrey,CHUGAY Andrey,CHUGAY Andrey,CHUGAY Andrey,CHUGAY Andrey,CHUGAY Andrey,CHUGAY Andrey,CHUGAY Andrey,
2025 Konya NC,15/03/2025,Rep,6,1,PULIDO Zion,PULIDO Zion,PULIDO Zion,del MEDICO Fabio,LEDINGHAM-HORN Harry,LEDINGHAM-HORN Harry,LEDINGHAM-HORN Harry,HOFFMAN Leigh,HOFFMAN Leigh,
2025 Konya NC,15/03/2025,Rep,6,2,del MEDICO Fabio,del MEDICO Fabio,del MEDICO Fabio,PULIDO Zion,del MEDICO Fabio,HOFFMAN Leigh,HOFFMAN Leigh,LEDINGHAM-HORN Harry,LEDINGHAM-HORN Harry,
2025 Konya NC,15/03/2025,Rep,6,3,SPIEGEL Luca,SPIEGEL Luca,SPIEGEL Luca,SPIEGEL Luca,HOFFMAN Leigh,SPIEGEL Luca,SPIEGEL Luca,SPIEGEL Luca,SPIEGEL Luca,
2025 Konya NC,15/03/2025,Rep,6,4,LEDINGHAM-HORN Harry,LEDINGHAM-HORN Harry,LEDINGHAM-HORN Harry,LEDINGHAM-HORN Harry,PULIDO Zion,del MEDICO Fabio,del MEDICO Fabio,del MEDICO Fabio,del MEDICO Fabio,
2025 Konya NC,15/03/2025,Rep,6,5,HOFFMAN Leigh,HOFFMAN Leigh,HOFFMAN Leigh,HOFFMAN Leigh,SPIEGEL Luca,PULIDO Zion,VADAPALAS Eimantas,VADAPALAS Eimantas,VADAPALAS Eimantas,
2025 Konya NC,15/03/2025,Rep,6,6,VADAPALAS Eimantas,VADAPALAS Eimantas,VADAPALAS Eimantas,VADAPALAS Eimantas,VADAPALAS Eimantas,VADAPALAS Eimantas,PULIDO Zion,PULIDO Zion,PULIDO Zion,
2025 Konya NC,15/03/2025,SF,1,1,DAKIN Sam,DAKIN Sam,DAKIN Sam,DAKIN Sam,VIGIER Sebastien,VIGIER Sebastien,VIGIER Sebastien,VIGIER Sebastien,VIGIER Sebastien,
2025 Konya NC,15/03/2025,SF,1,2,BARBER Daniel,BARBER Daniel,BARBER Daniel,BARBER Daniel,DAKIN Sam,HOFFMAN Leigh,DAKIN Sam,DAKIN Sam,DAKIN Sam,
2025 Konya NC,15/03/2025,SF,1,3,VIGIER Sebastien,VIGIER Sebastien,ESOW Esow,VIGIER Sebastien,HOFFMAN Leigh,DAKIN Sam,HOFFMAN Leigh,BARBER Daniel,BARBER Daniel,
2025 Konya NC,15/03/2025,SF,1,4,ESOW Esow,ESOW Esow,VIGIER Sebastien,ESOW Esow,BARBER Daniel,WAMMES Nick,WAMMES Nick,ESOW Esow,ESOW Esow,
2025 Konya NC,15/03/2025,SF,1,5,HOFFMAN Leigh,HOFFMAN Leigh,HOFFMAN Leigh,HOFFMAN Leigh,ESOW Esow,BARBER Daniel,BARBER Daniel,WAMMES Nick,WAMMES Nick,
2025 Konya NC,15/03/2025,SF,1,6,WAMMES Nick,WAMMES Nick,WAMMES Nick,WAMMES Nick,WAMMES Nick,ESOW Esow,ESOW Esow,HOFFMAN Leigh,HOFFMAN Leigh,
2025 Konya NC,15/03/2025,SF,2,1,DERACHE Tom,DERACHE Tom,DERACHE Tom,DERACHE Tom,NAKANO Shinji,NAKANO Shinji,NAKANO Shinji,NAKANO Shinji,NAKANO Shinji,
2025 Konya NC,15/03/2025,SF,2,2,SAHROM Muhammad Shah Firdaus,SAHROM Muhammad Shah Firdaus,SAHROM Muhammad Shah Firdaus,DODYK Ryan,DERACHE Tom,van LOON Tijmen,DERACHE Tom,DERACHE Tom,DERACHE Tom,
2025 Konya NC,15/03/2025,SF,2,3,DODYK Ryan,DODYK Ryan,DODYK Ryan,SAHROM Muhammad Shah Firdaus,van LOON Tijmen,DERACHE Tom,SAHROM Muhammad Shah Firdaus,SAHROM Muhammad Shah Firdaus,SAHROM Muhammad Shah Firdaus,
2025 Konya NC,15/03/2025,SF,2,4,NAKANO Shinji,NAKANO Shinji,NAKANO Shinji,NAKANO Shinji,SAHROM Muhammad Shah Firdaus,SAHROM Muhammad Shah Firdaus,van LOON Tijmen,YAMASAKI Kento,YAMASAKI Kento,
2025 Konya NC,15/03/2025,SF,2,5,van LOON Tijmen,van LOON Tijmen,van LOON Tijmen,van LOON Tijmen,DODYK Ryan,DODYK Ryan,YAMASAKI Kento,DODYK Ryan,DODYK Ryan,
2025 Konya NC,15/03/2025,SF,2,6,YAMASAKI Kento,YAMASAKI Kento,YAMASAKI Kento,YAMASAKI Kento,YAMASAKI Kento,YAMASAKI Kento,DODYK Ryan,van LOON Tijmen,van LOON Tijmen,
2025 Konya NC,15/03/2025,F,1,1,WAMMES Nick,WAMMES Nick,YAMASAKI Kento,van LOON Tijmen,van LOON Tijmen,HOFFMAN Leigh,HOFFMAN Leigh,HOFFMAN Leigh,HOFFMAN Leigh,
2025 Konya NC,15/03/2025,F,1,2,ESOW Esow,ESOW Esow,van LOON Tijmen,YAMASAKI Kento,YAMASAKI Kento,van LOON Tijmen,YAMASAKI Kento,YAMASAKI Kento,YAMASAKI Kento,
2025 Konya NC,15/03/2025,F,1,3,HOFFMAN Leigh,HOFFMAN Leigh,WAMMES Nick,WAMMES Nick,WAMMES Nick,YAMASAKI Kento,ESOW Esow,ESOW Esow,ESOW Esow,
2025 Konya NC,15/03/2025,F,1,4,DODYK Ryan,DODYK Ryan,ESOW Esow,ESOW Esow,HOFFMAN Leigh,ESOW Esow,DODYK Ryan,DODYK Ryan,DODYK Ryan,
2025 Konya NC,15/03/2025,F,1,5,van LOON Tijmen,YAMASAKI Kento,HOFFMAN Leigh,HOFFMAN Leigh,ESOW Esow,DODYK Ryan,van LOON Tijmen,WAMMES Nick,WAMMES Nick,
2025 Konya NC,15/03/2025,F,1,6,YAMASAKI Kento,van LOON Tijmen,DODYK Ryan,DODYK Ryan,DODYK Ryan,WAMMES Nick,WAMMES Nick,van LOON Tijmen,van LOON Tijmen,
2025 Konya NC,15/03/2025,F,2,1,VIGIER Sebastien,VIGIER Sebastien,,,,,,,,
2025 Konya NC,15/03/2025,F,2,2,DERACHE Tom,DERACHE Tom,,,,,,,,
2025 Konya NC,15/03/2025,F,2,3,NAKANO Shinji,NAKANO Shinji,,,,,,,,
2025 Konya NC,15/03/2025,F,2,4,BARBER Daniel,BARBER Daniel,,,,,,,,
2025 Konya NC,15/03/2025,F,2,5,SAHROM Muhammad Shah Firdaus,DAKIN Sam,,,,,,,,
2025 Konya NC,15/03/2025,F,2,6,DAKIN Sam,SAHROM Muhammad Shah Firdaus,,,,,,,,
