Time,,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
17:48:36,16:48:36,0,478,133,0,30,0,52,0,0
17:48:37,16:48:37,0,146,131,0,30,0,57,0,0
17:48:38,16:48:38,0,87,128,0,30,0,49,0,0
17:48:39,16:48:39,0,55,123,0,30,0,33,0,0
17:48:40,16:48:40,0,66,119,0,30,0,46,0,0
17:48:41,16:48:41,0,76,114,0,30,0,58,0,0
17:48:42,16:48:42,0,123,108,0,30,0,48,0,0
17:48:43,16:48:43,0,99,105,0,30,0,58,0,0
17:48:44,16:48:44,0,71,101,0,30,0,49,0,0
17:48:45,16:48:45,0,45,98,0,30,0,58,0,0
17:48:46,16:48:46,0,10,97,0,30,0,71,0,0
17:48:47,16:48:47,0,2,97,0,30,0,33,0,0
17:48:48,16:48:48,0,5,98,0,30,0,50,0,0
17:48:49,16:48:49,0,8,98,0,30,0,17,0,0
17:48:50,16:48:50,0,9,94,0,30,0,42,0,0
17:48:51,16:48:51,0,49,92,0,30,0,20,0,0
17:48:52,16:48:52,0,105,88,0,30,0,31,0,0
17:48:53,16:48:53,0,184,84,0,30,0,49,0,0
17:48:54,16:48:54,0,166,82,0,30,0,50,0,0
17:48:55,16:48:55,0,172,82,0,30,0,48,0,0
17:48:56,16:48:56,0,135,82,0,30,0,56,0,0
17:48:57,16:48:57,0,30,82,0,30,0,37,0,0
17:48:58,16:48:58,0,3,84,0,30,0,80,0,0
17:48:59,16:48:59,0,2,85,0,30,0,100,0,0
17:49:00,16:49:00,0,2,85,0,30,0,50,0,0
17:49:01,16:49:01,0,15,85,0,30,0,33,0,0
17:49:02,16:49:02,0,38,84,0,30,0,84,0,0
17:49:03,16:49:03,0,2,84,0,30,0,100,0,0
17:49:04,16:49:04,0,0,83,0,30,0,0,0,0
17:49:05,16:49:05,0,4,82,0,30,0,71,0,0
17:49:06,16:49:06,0,0,82,0,30,0,255,0,0
17:49:07,16:49:07,0,0,78,0,30,0,255,0,0
17:49:08,16:49:08,0,0,76,0,30,0,255,0,0
17:49:09,16:49:09,0,6,75,0,30,0,53,0,0
17:49:10,16:49:10,0,4,73,0,30,0,66,0,0
17:49:11,16:49:11,0,10,71,0,30,0,20,0,0
17:49:12,16:49:12,0,47,69,0,30,0,50,0,0
17:49:13,16:49:13,0,7,69,0,30,0,71,0,0
17:49:14,16:49:14,0,0,67,0,30,0,255,0,0
17:49:15,16:49:15,0,0,66,0,30,0,255,0,0
17:49:16,16:49:16,0,0,64,0,30,0,255,0,0
17:49:17,16:49:17,0,0,62,0,30,0,255,0,0
17:49:18,16:49:18,0,0,61,0,30,0,255,0,0
17:49:19,16:49:19,0,0,58,0,30,0,255,0,0
17:49:20,16:49:20,0,0,57,0,30,0,255,0,0
17:49:21,16:49:21,0,0,55,0,30,0,255,0,0
17:49:22,16:49:22,0,3,54,0,30,0,0,0,0
17:49:23,16:49:23,0,0,52,0,30,0,255,0,0
17:49:24,16:49:24,0,2,51,0,30,0,80,0,0
17:49:25,16:49:25,0,2,51,0,30,0,80,0,0
17:49:26,16:49:26,0,4,50,0,30,0,88,0,0
17:49:27,16:49:27,0,5,49,0,30,0,81,0,0
17:49:28,16:49:28,0,8,48,0,30,0,50,0,0
17:49:29,16:49:29,0,7,48,0,30,0,71,0,0
17:49:30,16:49:30,0,7,48,0,30,0,71,0,0
17:49:31,16:49:31,0,2,47,0,30,0,60,0,0
17:49:32,16:49:32,0,1,46,0,30,0,50,0,0
17:49:33,16:49:33,0,2,45,0,30,0,66,0,0
17:49:34,16:49:34,0,2,45,0,30,0,66,0,0
17:49:35,16:49:35,0,0,45,0,30,0,255,0,0
17:49:36,16:49:36,0,7,44,0,30,0,21,0,0
17:49:37,16:49:37,0,14,43,0,30,0,25,0,0
17:49:38,16:49:38,0,14,43,0,30,0,25,0,0
17:49:39,16:49:39,0,8,43,0,30,0,64,0,0
17:49:40,16:49:40,0,9,42,0,30,0,21,0,0
17:49:41,16:49:41,0,9,42,0,30,0,21,0,0
17:49:42,16:49:42,0,15,41,0,30,0,33,0,0
17:49:43,16:49:43,0,17,41,0,30,0,34,0,0
17:49:44,16:49:44,0,22,40,0,30,0,53,0,0
17:49:45,16:49:45,0,22,40,0,30,0,53,0,0
17:49:46,16:49:46,0,23,40,0,30,0,44,0,0
17:49:47,16:49:47,0,28,39,0,30,0,39,0,0
17:49:48,16:49:48,0,28,39,0,30,0,39,0,0
17:49:49,16:49:49,0,31,40,0,30,0,65,0,0
17:49:50,16:49:50,0,21,40,0,30,0,70,0,0
17:49:51,16:49:51,0,21,40,0,30,0,70,0,0
17:49:52,16:49:52,0,18,39,0,30,0,25,0,0
17:49:53,16:49:53,0,20,39,0,30,0,0,0,0
17:49:54,16:49:54,0,20,39,0,30,0,0,0,0
17:49:55,16:49:55,0,17,39,0,30,0,0,0,0
17:49:56,16:49:56,0,17,39,0,30,0,0,0,0
17:49:57,16:49:57,0,4,38,0,30,0,57,0,0
17:49:58,16:49:58,0,4,37,0,30,0,25,0,0
17:49:59,16:49:59,0,4,37,0,30,0,25,0,0
17:50:00,16:50:00,0,4,37,0,30,0,50,0,0
17:50:01,16:50:01,0,8,36,0,30,0,100,0,0
17:50:02,16:50:02,0,8,36,0,30,0,100,0,0
17:50:03,16:50:03,0,18,36,0,30,0,100,0,0
17:50:04,16:50:04,0,18,36,0,30,0,100,0,0
17:50:05,16:50:05,0,17,36,0,30,0,97,0,0
17:50:06,16:50:06,0,30,35,0,30,0,61,0,0
17:50:07,16:50:07,0,30,35,0,30,0,61,0,0
17:50:08,16:50:08,0,18,35,0,30,0,33,0,0
17:50:09,16:50:09,0,18,35,0,30,0,33,0,0
17:50:10,16:50:10,0,23,35,0,30,0,43,0,0
17:50:11,16:50:11,0,24,35,0,30,0,65,0,0
17:50:12,16:50:12,0,24,35,0,30,0,65,0,0
17:50:13,16:50:13,0,8,35,0,30,0,31,0,0
17:50:14,16:50:14,0,8,35,0,30,0,31,0,0
17:50:15,16:50:15,0,8,34,0,30,0,35,0,0
17:50:16,16:50:16,0,8,34,0,30,0,35,0,0
17:50:17,16:50:17,0,11,34,0,30,0,72,0,0
17:50:18,16:50:18,0,6,34,0,30,0,54,0,0
17:50:19,16:50:19,0,6,34,0,30,0,54,0,0
17:50:20,16:50:20,0,3,34,0,30,0,66,0,0
17:50:21,16:50:21,0,3,34,0,30,0,66,0,0
17:50:22,16:50:22,0,2,33,0,30,0,25,0,0
17:50:23,16:50:23,0,2,33,0,30,0,25,0,0
17:50:24,16:50:24,0,0,32,0,30,0,255,0,0
17:50:25,16:50:25,0,0,32,0,30,0,255,0,0
17:50:26,16:50:26,0,2,31,0,30,0,25,0,0
17:50:27,16:50:27,0,2,31,0,30,0,25,0,0
17:50:28,16:50:28,0,1,30,0,30,0,100,0,0
17:50:29,16:50:29,0,1,30,0,30,0,100,0,0
17:50:30,16:50:30,0,8,27,0,30,0,0,0,0
17:50:31,16:50:31,0,8,27,0,30,0,0,0,0
17:50:32,16:50:32,0,1,24,0,30,0,100,0,0
17:50:33,16:50:33,0,1,24,0,30,0,100,0,0
17:50:34,16:50:34,0,0,0,0,30,0,255,0,0
17:50:35,16:50:35,0,0,0,0,30,0,255,0,0
17:50:36,16:50:36,0,0,0,0,30,0,255,0,0
17:50:37,16:50:37,0,0,0,0,30,0,255,0,0
17:50:42,16:50:42,0,0,0,0,30,0,255,0,0
17:50:43,16:50:43,0,0,0,0,30,0,255,0,0
17:50:44,16:50:44,0,0,0,0,30,0,255,0,0
17:50:45,16:50:45,0,0,0,0,30,0,255,0,0
17:50:46,16:50:46,0,0,0,0,30,0,255,0,0
17:50:48,16:50:48,0,0,0,0,30,0,255,0,0
17:50:51,16:50:51,0,0,0,0,30,0,255,0,0
17:50:52,16:50:52,0,0,0,0,30,0,255,0,0
17:51:01,16:51:01,0,0,0,0,30,0,255,0,0
17:51:02,16:51:02,0,0,0,0,30,0,255,0,0
17:51:03,16:51:03,0,0,0,0,30,0,255,0,0
17:51:04,16:51:04,0,0,0,0,30,0,255,0,0
17:51:05,16:51:05,0,0,0,0,30,0,255,0,0
17:51:07,16:51:07,0,0,0,0,30,0,255,0,0
17:51:13,16:51:13,0,0,0,0,30,0,255,0,0
17:51:19,16:51:19,0,0,0,0,30,0,255,0,0
17:51:20,16:51:20,0,0,0,0,30,0,255,0,0
17:51:26,16:51:26,0,0,0,0,30,0,255,0,0
17:51:30,16:51:30,0,0,0,0,30,0,255,0,0
17:51:37,16:51:37,0,0,0,0,30,0,255,0,0
17:51:38,16:51:38,0,0,0,0,30,0,255,0,0
17:51:43,16:51:43,0,0,0,0,30,0,255,0,0
17:51:44,16:51:44,0,0,0,0,30,0,255,0,0
17:51:45,16:51:45,0,0,0,0,30,0,255,0,0
17:51:49,16:51:49,0,0,0,0,30,0,255,0,0
17:51:50,16:51:50,0,83,49,0,30,0,48,0,0
17:51:51,16:51:51,0,68,64,0,30,0,59,0,0
17:51:52,16:51:52,0,56,69,0,30,0,56,0,0
17:51:53,16:51:53,0,44,72,0,30,0,55,0,0
17:51:54,16:51:54,0,39,73,0,30,0,53,0,0
17:51:55,16:51:55,0,42,73,0,30,0,55,0,0
17:51:56,16:51:56,0,43,74,0,30,0,49,0,0
17:51:57,16:51:57,0,41,74,0,30,0,50,0,0
17:51:58,16:51:58,0,39,74,0,30,0,52,0,0
17:51:59,16:51:59,0,37,75,0,30,0,55,0,0
17:52:00,16:52:00,0,32,74,0,30,0,59,0,0
17:52:01,16:52:01,0,40,73,0,30,0,54,0,0
17:52:02,16:52:02,0,38,74,0,30,0,55,0,0
17:52:03,16:52:03,0,40,74,0,30,0,57,0,0
17:52:04,16:52:04,0,36,73,0,30,0,58,0,0
17:52:05,16:52:05,0,37,73,0,30,0,63,0,0
17:52:06,16:52:06,0,37,72,0,30,0,58,0,0
17:52:07,16:52:07,0,30,71,0,30,0,57,0,0
17:52:08,16:52:08,0,37,71,0,30,0,53,0,0
17:52:09,16:52:09,0,40,72,0,30,0,55,0,0
17:52:10,16:52:10,0,41,72,0,30,0,59,0,0
17:52:11,16:52:11,0,34,71,0,30,0,57,0,0
17:52:12,16:52:12,0,37,71,0,30,0,57,0,0
17:52:13,16:52:13,0,35,71,0,30,0,54,0,0
17:52:14,16:52:14,0,35,71,0,30,0,59,0,0
17:52:15,16:52:15,0,33,70,0,30,0,55,0,0
17:52:16,16:52:16,0,34,70,0,30,0,57,0,0
17:52:17,16:52:17,0,38,69,0,30,0,55,0,0
17:52:18,16:52:18,0,37,70,0,30,0,49,0,0
17:52:19,16:52:19,0,34,71,0,30,0,58,0,0
17:52:20,16:52:20,0,38,70,0,30,0,50,0,0
17:52:21,16:52:21,0,34,70,0,30,0,55,0,0
17:52:22,16:52:22,0,32,69,0,30,0,50,0,0
17:52:23,16:52:23,0,36,69,0,30,0,54,0,0
17:52:24,16:52:24,0,42,69,0,30,0,49,0,0
17:52:25,16:52:25,0,37,71,0,30,0,61,0,0
17:52:26,16:52:26,0,34,70,0,30,0,58,0,0
17:52:27,16:52:27,0,34,69,0,30,0,54,0,0
17:52:28,16:52:28,0,31,68,0,30,0,54,0,0
17:52:29,16:52:29,0,37,68,0,30,0,47,0,0
17:52:30,16:52:30,0,34,68,0,30,0,55,0,0
17:52:31,16:52:31,0,35,68,0,30,0,50,0,0
17:52:32,16:52:32,0,38,69,0,30,0,52,0,0
17:52:33,16:52:33,0,37,69,0,30,0,52,0,0
17:52:34,16:52:34,0,37,70,0,30,0,53,0,0
17:52:35,16:52:35,0,34,69,0,30,0,55,0,0
17:52:36,16:52:36,0,32,69,0,30,0,57,0,0
17:52:37,16:52:37,0,35,69,0,30,0,52,0,0
17:52:38,16:52:38,0,34,68,0,30,0,53,0,0
17:52:39,16:52:39,0,34,68,0,30,0,51,0,0
17:52:40,16:52:40,0,39,69,0,30,0,55,0,0
17:52:41,16:52:41,0,32,68,0,30,0,54,0,0
17:52:42,16:52:42,0,38,69,0,30,0,54,0,0
17:52:43,16:52:43,0,34,69,0,30,0,50,0,0
17:52:44,16:52:44,0,34,69,0,30,0,50,0,0
17:52:45,16:52:45,0,33,68,0,30,0,56,0,0
17:52:46,16:52:46,0,31,68,0,30,0,54,0,0
17:52:47,16:52:47,0,37,68,0,30,0,50,0,0
17:52:48,16:52:48,0,35,68,0,30,0,54,0,0
17:52:49,16:52:49,0,38,68,0,30,0,52,0,0
17:52:50,16:52:50,0,37,68,0,30,0,50,0,0
17:52:51,16:52:51,0,40,69,0,30,0,51,0,0
17:52:52,16:52:52,0,36,69,0,30,0,52,0,0
17:52:53,16:52:53,0,30,69,0,30,0,55,0,0
17:52:54,16:52:54,0,34,69,0,30,0,50,0,0
17:52:55,16:52:55,0,35,69,0,30,0,53,0,0
17:52:56,16:52:56,0,36,68,0,30,0,51,0,0
17:52:57,16:52:57,0,34,69,0,30,0,52,0,0
17:52:58,16:52:58,0,32,69,0,30,0,62,0,0
17:52:59,16:52:59,0,27,67,0,30,0,50,0,0
17:53:00,16:53:00,0,32,66,0,30,0,53,0,0
17:53:01,16:53:01,0,34,67,0,30,0,54,0,0
17:53:02,16:53:02,0,33,67,0,30,0,51,0,0
17:53:03,16:53:03,0,34,67,0,30,0,55,0,0
